epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19040.1,0.20554,1.90099,0.93589,0.51813,0.27904,0.50309,0.48781,0.3225,2.5626,0.6503,0.00047092,0.00047092,0.00047092
2,19903.2,0.17703,0.94561,0.89243,0.47612,0.60188,0.60617,0.58372,0.32842,2.22898,0.61401,0.000928498,0.000928498,0.000928498
3,20879.5,0.26224,0.97394,0.92675,0.56789,0.54667,0.29928,0.24746,0.56964,2.31184,0.77106,0.00136721,0.00136721,0.00136721
4,21713.8,0.23665,0.95993,0.92085,0.75,0.33333,0.26395,0.24601,0.38088,3.42592,0.68073,0.00134412,0.00134412,0.00134412
5,22477.1,0.20439,0.76984,0.90312,0.51055,0.61188,0.66171,0.66171,0.18921,3.00942,0.49221,0.00131582,0.00131582,0.00131582
6,23251.7,0.22276,0.71056,0.90449,0.7571,0.93323,0.979,0.979,0.28531,1.21133,0.53179,0.00128753,0.00128753,0.00128753
7,24021.7,0.26564,0.73634,0.92054,0.50945,0.39927,0.6417,0.62132,0.22788,2.23028,0.49097,0.00125923,0.00125923,0.00125923
8,24744.8,0.25166,0.66985,0.91711,0.7059,0.96095,0.85447,0.77074,0.38842,1.15259,0.61117,0.00123094,0.00123094,0.00123094
9,25447.7,0.22389,0.60386,0.91646,0.91744,0.92637,0.95007,0.95007,0.13294,0.48793,0.41957,0.00120265,0.00120265,0.00120265
10,26140.5,0.23334,0.59588,0.90775,0.54639,0.80666,0.6253,0.52739,0.27667,1.46198,0.57962,0.00117435,0.00117435,0.00117435
11,26849.1,0.1549,0.52369,0.88342,0.75824,0.92587,0.8613,0.86101,0.10405,0.74426,0.40329,0.00114606,0.00114606,0.00114606
12,27540.2,0.18297,0.53218,0.8858,0.47546,0.34166,0.4963,0.4962,0.15455,3.76163,0.45353,0.00111776,0.00111776,0.00111776
